ABATACEPT	3400926884376
DIRITHROMYCINE	3400933632175
DISOPYRAMIDE	3400930935453;3400932460267;3400932989393;3400932989454
DOLUTEGRAVIR	3400927714634;3400927714634;3400927948954
DOMPERIDONE	3400936217256;3400938233926;3400933236144;3400936235175;3400936236707;3400938234527;3400922263236;3400938233346;3400936180314;3400922272221;3400934685774;3400939623955;3400936819115;3400938232394;3400922272450;3400936263789;3400936745032;3400936235526;3400922332864;3400949709595;3400932340989;3400922273860;3400932341122;3400934216763;3400937477802;3400936268814;3400936248991;3400936417809;3400938232806;3400922263007;3400922271040;3400934685194;3400936664555;3400936248823;3400938150919;3400922271859;3400936321663;3400936417687;3400922270678;3400938907674;3400938907155;3400932864164;3400922271279;3400936415157;3400922271620;3400936395015;3400932864225;3400922270449
DOSULEPINE	3400931908869;3400932500970;3400936401549
DOXAZOSINE	3400921656794;3400949009244;3400949005512;3400949002498;3400937625784;3400949005390;3400939446417;3400937625616;3400921653663;3400921655674
DOXEPINE	3400933329327;3400931259725;3400933329266
DOXYCYCLINE	3400936130456;3400936130517;3400935332868;3400932499700;3400936423022;3400935332639;3400932422876;3400935599209;3400935582119;3400934748271;3400934433306;3400935581976;3400934433474;3400936130685;3400936174979;3400935629395;3400937666367;3400936175051;3400934433535;3400935582348;3400934549311;3400934549540;3400934549830;3400936174801;3400935599377;3400933965242;3400933965532;3400921897579;3400936175280;3400935599438;3400935616449;3400937666138;3400936422650;3400933965303;3400934549779
DRONEDARONE	3400939901671
DULOXETINE	3400930020647;3400936586512;3400930020746;3400936586451;3400930018552;3400930020609;3400930018590;3400930020760;3400937023757
DYDROGESTERONE	3400932192946;3400932192946;3400935660381;3400934385247;3400935264350
EBASTINE	3400934035661;3400927701917;3400936759169;3400927703287;3400927813320;3400934035371;3400921689914;3400927812378
EFAVIRENZ	3400927409653;3400935996640;3400935177032;3400935176950;3400935851888;3400927409653;3400935996640;3400935177032;3400935176950;3400935851888;3400938306996
ELETRIPTAN	3400930029596;3400935786852;3400935786104;3400935786913;3400935786623;3400927731433
ENALAPRIL	3400932709069;3400936177291;3400935504975;3400936144125;3400936144064;3400938790108;3400937242530;3400937835053;3400938790047;3400937314480;3400937314251;3400936090033;3400937395045;3400935926104;3400932708987;3400937297820;3400937393492;3400937393324;3400936019935;3400936795648;3400935709912;3400937314602;3400936264151;3400936175860;3400926746599;3400937298070;3400936019355;3400935925671;3400935710512;3400935709561;3400938840346;3400936745261;3400935403988;3400935500144;3400935709332;3400936175921;3400937314022;3400935711113;3400935499622;3400936089891;3400936019416;3400936020016;3400936807167;3400936745322;3400932709069;3400936177291;3400935504975;3400936144125;3400936144064;3400938790108;3400937242530;3400937835053;3400938790047;3400937314480;3400937314251;3400936090033;3400937395045;3400935926104;3400932708987;3400937297820;3400937393492;3400937393324;3400936019935;3400936795648;3400935709912;3400937314602;3400936264151;3400936175860;3400926746599;3400937298070;3400936019355;3400935925671;3400935710512;3400935709561;3400938840346;3400936745261;3400935403988;3400935500144;3400935709332;3400936175921;3400937314022;3400935711113;3400935499622;3400936089891;3400936019416;3400936020016;3400936807167;3400936745322;3400938739299;3400930005460;3400930005576;3400938596397;3400938596748;3400938737578;3400930005521;3400937682626;3400937295529;3400937137812;3400936729063;3400937394963;3400937655361;3400938992021;3400938789676;3400936731653;3400938479904;3400937039956;3400936648586;3400936362994;3400937039895;3400938643855;3400936648418;3400937039376;3400937301992;3400936649187;3400935291554;3400936648708;3400936648876;3400938828511;3400938732436;3400933024055;3400938643275;3400937039086;3400936649019;3400937300124
ENOXACINE	3400933089221
ENOXAPARINE	3400936469495;3400936468955;3400936469037;3400936468375;3400936469327;3400936468665;3400936468726;3400936468436;3400936468894;3400936469266
ENTACAPONE	3400922276762;3400934865176;3400934865237;3400922276823;3400922276762;3400934865176;3400934865237;3400922276823;3400926704209;3400928009050;3400936345737;3400939442563;3400936345386;3400928008510;3400939441962;3400928010759;3400928009579;3400928010179;3400938538847;3400936346277
ENZALUTAMIDE	3400927432484
EPHEDRINE	3400934020704
EPLERENONE	3400939099460;3400936657342;3400936617360;3400930009772;3400936657403;3400930019344;3400936657052;3400939098111
EPROSARTAN	3400935635488;3400937206051;3400935635488;3400937206051;3400937921190;3400937921251;3400937610247
ERGOTAMINE	3400930467879
ERLOTINIB	3400936923522;3400936923461;3400936923232
ERYTHROMYCINE	3400932499298;3400933114107;3400933578145;3400933608163;3400932051168;3400933349608;3400932495856;3400932238873;3400932425549;3400932021581;3400932425600;3400932563265;3400932670925;3400932671007;3400933578206;3400932840212;3400932563326;3400936198234;3400932499298;3400933114107;3400933578145;3400933608163;3400932051168;3400933349608;3400932495856;3400932238873;3400932425549;3400932021581;3400932425600;3400932563265;3400932670925;3400932671007;3400933578206;3400932840212;3400932563326;3400936198234;3400934243448;3400933687236;3400933021672
ESCITALOPRAM	3400922394787;3400927738876;3400926987145;3400927720666;3400927738586;3400927734854;3400927715983;3400927808708;3400927716065;3400926987435;3400927718595;3400927741548;3400927717994;3400922399980;3400922399003;3400927734106;3400926987084;3400927740596;3400927719837;3400926987206;3400927719257;3400922394909;3400936428973;3400927408472;3400927733673;3400927718656;3400926987374;3400927847738;3400927847509;3400927749872;3400935994110;3400927738937;3400927740428;3400927556883;3400922397450;3400927573682;3400927831997;3400927557835;3400927808296;3400927717246;3400927848049;3400927716645;3400927733383;3400935993977;3400938204599;3400927911354;3400927428234;3400927427862;3400927407871;3400927911125;3400927847158;3400927558726;3400927809309;3400927738708;3400927740657;3400927734564;3400935993748;3400927911064;3400927830068;3400927827518;3400927556944;3400927827747;3400927809538;3400927738647;3400927559266;3400927809187;3400926881535;3400927574054;3400926882884;3400926881764;3400927832710;3400927574405;3400927733734;3400935993519;3400927427343;3400927428005;3400927911293
ESOMEPRAZOLE	3400921633672;3400927357572;3400941888229;3400922197777;3400949946648;3400927481451;3400922296173;3400921633382;3400922033976;3400927417986;3400949720880;3400941888168;3400927417818;3400949721023;3400922295923;3400949946068;3400927822483;3400927359415;3400922033808;3400927418129;3400927417757;3400922036069;3400949721481;3400922037301;3400949718351;3400949718061;3400922037769;3400922197319;3400949946587;3400949719013;3400922036359;3400922034348;3400927821653;3400927357343;3400922035987;3400927821592;3400949721542;3400927418068;3400922034287;3400927822544;3400949947010;3400949718412;3400949718702;3400949717699;3400927481390;3400927359583;3400949718122;3400949721832;3400922146850;3400921634792;3400922037530;3400922037240;3400921928198;3400922197609;3400949946709;3400922197548;3400949719471;3400922033747;3400949721313;3400949721771;3400921928259;3400927357404;3400922296463;3400927821714;3400949943395;3400927823374;3400922037479;3400949717750;3400949717811;3400949946358;3400949719532;3400938673081;3400922036298;3400927824494;3400941888458;3400922037820;3400921609660;3400921634914;3400921633443;3400941889578;3400949946938;3400949945986;3400949719242;3400949718580;3400949718870;3400949943456;3400927481680;3400949720712;3400921928310;3400921927948;3400935533432;3400949720651;3400921928020;3400941889349;3400949946877;3400927824326;3400949719181;3400949946419;3400949015917;3400927481741;3400927481512;3400949943517;3400935533203;3400949721191;3400935533890;3400949946297;3400922197487;3400927823206;3400935533371;3400927823435;3400949946129;3400935533951
ESTAZOLAM	3400932179060
ESTRADIOL	3400933604370;3400935762320;3400935660381;3400934385247;3400935264350;3400934610615;3400932972654;3400933963231;3400935665126;3400935954657;3400933913083;3400934610783;3400934090370;3400931689294;3400935239396;3400934240195;3400934565687;3400934239946;3400935858054;3400935858634;3400934610554;3400934090721;3400934243677;3400935858344;3400934466823;3400936434608;3400935239518;3400935859006;3400933829247;3400935665065;3400935239167;3400936557475;3400933811846;3400935479341;3400935239976;3400934090950;3400933811266;3400935116758;3400932972944;3400934666674;3400934090899;3400934090431;3400935240118;3400934090660;3400935239747;3400934610615;3400932972654;3400933963231;3400935665126;3400935954657;3400933913083;3400934610783;3400934090370;3400931689294;3400935239396;3400934240195;3400934565687;3400934239946;3400935858054;3400935858634;3400934610554;3400934090721;3400934243677;3400935858344;3400934466823;3400936434608;3400935239518;3400935859006;3400933829247;3400935665065;3400935239167;3400936557475;3400933811846;3400935479341;3400935239976;3400934090950;3400933811266;3400935116758;3400932972944;3400934666674;3400934090899;3400934090431;3400935240118;3400934090660;3400935239747;3400935839473;3400936759459;3400935531131;3400935784902;3400935785152;3400933443559;3400935785381;3400935846228;3400935847928;3400933145552;3400934879944;3400932548828
ESTRAMUSTINE	3400932382743;3400932297955
ETANERCEPT	3400921676327;3400937719100;3400936064997;3400939605227;3400937719568;3400935851710;3400937684118
ETHINYLESTRADIOL	3400939720630;3400939720579;3400933853839;3400939721231;3400935866448;3400935866387;3400935866219;3400933854089;3400935866509;3400939721460;3400937597197;3400937736718;3400937596947;3400937596138;3400937596718;3400937464444;3400937596428;3400938072174;3400937935159;3400937734707;3400937464383;3400937737319;3400937596886;3400937596367;3400937464505;3400937464673;3400937737197;3400937736947;3400938072006;3400937595537;3400937734417;3400938072464;3400937935500;3400938072525;3400937595476;3400937734585;3400937596596;3400937737029;3400939181066;3400932807154;3400922408439;3400931840640;3400939181127;3400927999352;3400922178967;3400939108087;3400931824091;3400949113422;3400938479324;3400937700009;3400922179049;3400931823902;3400926752514;3400935884138;3400926752682;3400938479263;3400935673220;3400935884367;3400949113361;3400931840879;3400938999754;3400938999815;3400927731891;3400932807093;3400939102344;3400928023476;3400928023308;3400935673169;3400927982613;3400932549368;3400932026326;3400932026494;3400932549139;3400930996256;3400930996195
ETHOSUXIMIDE	3400932507955
ETIFOXINE	3400932285778
ETODOLAC	3400932852048;3400933480400
ETONOGESTREL	3400935154439
ETOPOSIDE	3400939256030;3400936575806;3400936575974
ETORICOXIB	3400938798081;3400938792577
EVEROLIMUS	3400936411883;3400939628288;3400936410824;3400936411593;3400936410305;3400936411135;3400939628110
EZETIMIBE	3400928004895;3400928005328;3400928005786;3400928005557;3400936227071;3400939170060;3400936226999;3400949005802;3400936227071;3400939170060;3400936226999;3400949005802;3400936961371;3400939095677;3400936961661;3400939095738
FAMOTIDINE	3400935510259;3400932932733;3400932933273;3400936270305;3400935978660;3400936270534
FEBUXOSTAT	3400938572445;3400938572506
FELODIPINE	3400937859875;3400937995290;3400937143615;3400937848701;3400933285340;3400937995412;3400937859707;3400937143844;3400937859875;3400937995290;3400937143615;3400937848701;3400933285340;3400937995412;3400937859707;3400937143844;3400937144094;3400937144216
FENOFIBRATE	3400937356824;3400936275676;3400935477279;3400939265834;3400933263577;3400939267784;3400937800044;3400935349200;3400939266664;3400937752565;3400933498788;3400939266954;3400939265544;3400935883308;3400939264363;3400937148818;3400937752336;3400937148986;3400939265193;3400935376862;3400936964105;3400937282802;3400937281270;3400936437500;3400937280440;3400933499501;3400935548740;3400933499730;3400937347488;3400937348430;3400937799522;3400937178563;3400939269337;3400937280730;3400937282161;3400937325776;3400937916288;3400933498900;3400935183293;3400932376421;3400937800273;3400936437678;3400937348140;3400935507877;3400937733526;3400937178105;3400935760197;3400937281621;3400936597396;3400937283113;3400937916349;3400941823404;3400937356534;3400937294058;3400939268446;3400936964563;3400936964334;3400937799461;3400936089204;3400939073446;3400937410045;3400939267494;3400939269047;3400939263991;3400936818972;3400937383967;3400936795709;3400935537393;3400937385398;3400938689921;3400935508300;3400938395716;3400939073385;3400939264882;3400939263014;3400939263304;3400937178044;3400935537454;3400937177962;3400937356763;3400935553072;3400935508768;3400935652638;3400936964273;3400935507587;3400937382786;3400937283922;3400933003005;3400937288484;3400936145825;3400938396027;3400936146136;3400936319943;3400937284752;3400937283571;3400935486493;3400936596108;3400935477330;3400934714443;3400937733236;3400937234955;3400936319882;3400937302715;3400936745551;3400941823862;3400937345996;3400937390712;3400937397407;3400935486325;3400939268156;3400937348959;3400937288316;3400937197434;3400934777196;3400937197205;3400937294119;3400937178853;3400937346719;3400934751233;3400935486264;3400937346368;3400936016804;3400936173569;3400935440488;3400936146075;3400936145993;3400935440778;3400933527228;3400935485953;3400935878793;3400937285124;3400936745490;3400937284462;3400936021426;3400933527167
FENOPROFENE	3400931981909
FENTANYL	3400939641355;3400939104935;3400939845340;3400939104874;3400938509861;3400936985155;3400934238765;3400939213446;3400939200439;3400939105765;3400922303079;3400927656989;3400935806826;3400934238475;3400938508512;3400939220710;3400939200729;3400939220949;3400922303420;3400938510232;3400939844510;3400939641706;3400938504897;3400935843845;3400938509571;3400922302300;3400935807366;3400927560446;3400927560675;3400939200668;3400939846460;3400939104645;3400939104416;3400938149500;3400939314952;3400927561108;3400939104706;3400938650488;3400927656750;3400927561337;3400939221021;3400939699257;3400939711935;3400934238307;3400922301938;3400922302768;3400939104584;3400939843629;3400935843494;3400939104294;3400938651720;3400933799229;3400949217250;3400949812134;3400927560965;3400939220888;3400939105185;3400934238536;3400939640983;3400939903392;3400938508741;3400939202099;3400939392325;3400921856477;3400921856538;3400939712017;3400939711874;3400939104355;3400921856996;3400938509342;3400949666331;3400938652840;3400939391144;3400939221489;3400939213507;3400935806307;3400938509113;3400949666621;3400938651089;3400939213736;3400939221250;3400939391892;3400938508970;3400938652321;3400939390543;3400939221601
FER	3400930396988
FESOTERODINE	3400926704728;3400926704896
FLECAINIDE	3400936448735;3400927587412;3400927587351;3400935805874;3400938245813;3400927587702;3400927587641;3400938244342;3400938243161;3400936425262;3400935805645;3400932636228;3400935999771;3400938241501;3400927587580;3400927587290;3400938248593;3400927570902;3400927587931;3400927571152;3400927571213;3400935805416;3400927587870;3400935805294;3400927571091
FLOCTAFENINE	3400931880332
FLUCONAZOLE	3400936271883;3400938172102;3400937814522;3400933547097;3400936717817;3400937783613;3400933055103;3400933265878;3400937031561;3400934659171;3400933547158;3400937807609;3400937807319;3400936281769;3400936699106;3400936281011;3400937806947;3400937034982;3400937035415;3400937782432;3400938955750;3400937937160;3400936280878;3400937784153;3400937807258;3400933867737;3400933868277;3400937803007;3400938954920;3400938955989;3400938955231;3400937034692;3400936717985;3400939526690;3400937809788;3400936652200;3400937781312;3400937032452;3400937806886;3400933867966;3400937814461;3400937936859;3400936699625;3400939517308;3400937809610;3400937030502;3400937784092;3400936718067;3400937807197;3400937783842;3400936652378;3400937937450;3400936717237;3400937579919;3400936652668;3400938956122;3400937797979;3400939526461;3400936717756;3400936716865;3400937809030;3400938193213;3400937579629;3400934557415;3400937782661;3400936716575;3400937781602;3400936699793;3400937033404;3400936698734;3400936652149;3400934659003;3400936281301;3400937797511;3400934557583;3400936716346
FLUDARABINE	3400935853370;3400935853202
FLUINDIONE	3400933484132
FLUNARIZINE	3400932829446
FLUNITRAZEPAM	3400934846076
FLUOROURACILE	3400932184323;3400937687249
FLUOXETINE	3400935817181;3400933100957;3400937715317;3400935825117;3400935102911;3400938704631;3400949404674;3400938069044;3400936889651;3400935817013;3400938327298;3400934505317;3400935406651;3400938071573;3400935905970;3400938704280;3400936745612;3400936320543;3400936423480;3400933604202;3400939866512;3400938385540;3400936584211;3400937656603;3400936320482;3400935968555;3400936118041;3400934776366;3400936975910;3400938384949;3400935883766;3400936453357;3400938044201;3400934855351;3400937938860;3400939133560;3400935485724;3400949146888;3400936453647;3400936312500;3400938386202;3400936238718
FLUPENTIXOL	3400931655527;3400932634965;3400931809654
FLUPHENAZINE	3400931214540;3400930681459;3400930681510;3400931214601
FLURBIPROFENE	3400932676729;3400931971092;3400933443498;3400933199081;3400933502614;3400932226757
FLUVASTATINE	3400939499284;3400939499925;3400939500386;3400938744552;3400939499406;3400939500737;3400931993674;3400939380728;3400938672022;3400939728155;3400938745504;3400939500157;3400939865331;3400939380209;3400935543486;3400939234786;3400938792058;3400938349702;3400939378428;3400939430218;3400939233437;3400938349351;3400939232317;3400937207812;3400939431338;3400938797541;3400938746105;3400935543776;3400939428727;3400939427317;3400939235677;3400939431628;3400939864440;3400937208062;3400937207980;3400939232607;3400939500508;3400939499635;3400933957728;3400931988762;3400937238397;3400939430096;3400938351712;3400939425993;3400939728384;3400939470368;3400939866161;3400937208123;3400937208291;3400935544896;3400938743890;3400939599212;3400939600024;3400939618524;3400937238519;3400938352191;3400939980973;3400927392870;3400939235448;3400939865102;3400935544438;3400937207751;3400939234557;3400939378138;3400939599731;3400938791686;3400939425764;3400937238168;3400939427546;3400937238458;3400939618753;3400939980744;3400939419671;3400939865850;3400939419961;3400935544148;3400935545497;3400939864730;3400937238687;3400935619341;3400939428956;3400939865621;3400939233895;3400937238229
FLUVOXAMINE	3400935646835;3400932729111;3400936026278;3400935647085;3400936026339;3400935905161;3400937850421;3400936024267;3400936024496;3400933198312;3400935904270;3400937850360
FONDAPARINUX	3400936565579;3400936565289;3400936565340;3400936565050;3400936564978;3400935922540;3400936564749;3400935922601
FOSAMPRENAVIR	3400936406452;3400936406391
FOSINOPRIL	3400939728506;3400938952858;3400939473321;3400939473550;3400937183765;3400939586373;3400939455402;3400939456690;3400938827910;3400939574776;3400939728964;3400938673661;3400937200257;3400939574486;3400939005140;3400939729794;3400939578330;3400939004778;3400938827620;3400937183307;3400938674033;3400937200196;3400938827859;3400938828221;3400937200318;3400939719221;3400937200486;3400939004600;3400939004839;3400939005201;3400938952339;3400939005379;3400939005089;3400939728506;3400938952858;3400939473321;3400939473550;3400937183765;3400939586373;3400939455402;3400939456690;3400938827910;3400939574776;3400939728964;3400938673661;3400937200257;3400939574486;3400939005140;3400939729794;3400939578330;3400939004778;3400938827620;3400937183307;3400938674033;3400937200196;3400938827859;3400938828221;3400937200318;3400939719221;3400937200486;3400939004600;3400939004839;3400939005201;3400938952339;3400939005379;3400939005089;3400938699395;3400938573107;3400938570953;3400937199964;3400938573626;3400938961492;3400934631955;3400938923582;3400938785944;3400938609097;3400937200028;3400937981514;3400938844948;3400938845198
FROVATRIPTAN	3400935755346;3400935561695;3400935561756;3400935755407;3400937782951;3400936156470
FUROSEMIDE	3400932560134;3400936169548;3400935244369;3400933845384;3400936169319;3400930573310;3400936736917;3400935281388;3400936819634;3400936819054;3400936737167;3400930012659;3400936476769;3400932492374;3400941626623;3400930002209;3400933000912;3400930012635;3400932153565;3400936655041;3400936476998;3400934783869;3400936752825;3400936753075;3400936098886;3400936654730;3400936145245;3400936099258;3400932560134;3400936169548;3400935244369;3400933845384;3400936169319;3400930573310;3400936736917;3400935281388;3400936819634;3400936819054;3400936737167;3400930012659;3400936476769;3400932492374;3400941626623;3400930002209;3400933000912;3400930012635;3400932153565;3400936655041;3400936476998;3400934783869;3400936752825;3400936753075;3400936098886;3400936654730;3400936145245;3400936099258;3400932975785;3400937295819;3400933475208
GANCICLOVIR	3400933951283
GEFITINIB	3400939595078
GEMFIBROZIL	3400932606351
GENTAMICINE	3400930436592;3400934316340;3400934305283;3400930436424;3400932695188;3400932234912;3400932695010;3400932695249;3400930436653;3400932695300
GLIBENCLAMIDE	3400937321174;3400937826877;3400937765633;3400938577709;3400938023787;3400938023329;3400938024678;3400937321464;3400937407083;3400933081706;3400939082721;3400938980943;3400938751765;3400937938341;3400938752946;3400931650263;3400937765572;3400937016254;3400938577648;3400937765343;3400938025101;3400938024210;3400936820814;3400937239288;3400930281055;3400930280973;3400938753318;3400938577587;3400938982664;3400938023039;3400937200608;3400938577419;3400936820982;3400937321174;3400937826877;3400937765633;3400938577709;3400938023787;3400938023329;3400938024678;3400937321464;3400937407083;3400933081706;3400939082721;3400938980943;3400938751765;3400937938341;3400938752946;3400931650263;3400937765572;3400937016254;3400938577648;3400937765343;3400938025101;3400938024210;3400936820814;3400937239288;3400930281055;3400930280973;3400938753318;3400938577587;3400938982664;3400938023039;3400937200608;3400938577419;3400936820982;3400935802804;3400935801623;3400935803344;3400935802224
GLIBORNURIDE	3400931314295
GLICLAZIDE	3400938568134;3400938566581;3400935324993;3400926911324;3400935420039;3400938562101;3400930010853;3400937529242;3400926915636;3400938567014;3400935326027;3400938567991;3400935325365;3400936818514;3400936818453;3400938565522;3400937529013;3400949723034;3400937529990;3400935253125;3400935105752;3400949722891;3400926915285;3400938568714;3400949144709;3400938564921;3400935253293;3400949016228;3400935637321;3400933814687;3400935418487;3400938563801;3400937733755;3400935823106;3400938566352;3400935105813;3400949737390;3400927586231;3400934902987;3400937228923;3400949002610;3400935253354;3400935253064;3400935418609;3400949723782;3400938561388;3400936745780;3400927516962;3400935419897;3400938554175;3400949737161;3400934902819;3400949016396;3400949006281;3400938563399;3400938561678;3400949020010;3400941899973;3400927729652;3400936745841;3400931293613;3400938569773;3400949737970;3400935325426;3400949007752;3400949001088;3400930010822;3400939050034;3400926910891;3400938563160;3400949143177;3400927729881;3400936177703;3400927368929;3400936145306;3400935326195;3400938554236;3400939049892;3400927368868;3400938564631;3400936145474;3400931293781;3400938570373;3400937842846;3400935326607;3400949145300;3400935326775;3400927586750;3400933823382;3400937226103;3400927370878;3400949144587;3400937226271;3400938569544;3400949142927;3400937288606;3400927370649
GLIMEPIRIDE	3400939383569;3400939383101;3400936686557;3400937190978;3400937470995;3400934210211;3400939383859;3400937250924;3400937193290;3400937245951;3400937469647;3400937659673;3400937244831;3400937470537;3400937248914;3400934210389;3400922065274;3400937190398;3400936685666;3400939653242;3400936685147;3400939653303;3400922064444;3400934210440;3400939652290;3400937192699;3400937469937;3400937584531;3400934210501;3400937247504;3400937491297;3400937480871;3400937244541;3400937250283;3400937480581;3400939652580;3400922063492;3400937246903;3400937249973;3400937191920;3400937492539;3400937479981;3400937490818;3400937193580;3400939653990;3400937480642;3400937118880;3400937469067;3400937063210;3400937469357;3400939652641;3400937245661;3400937470247;3400937492768;3400937052733;3400937190688;3400937491648;3400937194181;3400937662406;3400937248273;3400937192989;3400937193870;3400937471657;3400937480291;3400922063034;3400937471367;3400937245203;3400939382739;3400937249683;3400937584999;3400939654072;3400937472838;3400937189620;3400936686038;3400922064093;3400937584302;3400939652351;3400939384221;3400937472258;3400937189910;3400937492997;3400937492829;3400937584012;3400938847321;3400937186896;3400938261141;3400938260540;3400939382449;3400938845778;3400938846201;3400937929707;3400937472548;3400938261202;3400937471947;3400922065625;3400938261080;3400937187268;3400938018585;3400937582810;3400937583060;3400937063098;3400937657891;3400937481014;3400938260311;3400922062723;3400938016574;3400937195881;3400937192231;3400937195591;3400937659383;3400938017984;3400938260601;3400937062329;3400938017236;3400938260489;3400938016925;3400937658553;3400922063782;3400937062787;3400937195133;3400939384450;3400937582520;3400937061957;3400937659215;3400937583350;3400937092425;3400937118712;3400937481472;3400937657433;3400938017694;3400939384740;3400938016284;3400937658904;3400937658843;3400937481243;3400938018295;3400938261370
GLIPIZIDE	3400931527046;3400933953935;3400931527275;3400933954185;3400931544883;3400931544654;3400934897054
GOLIMUMAB	3400939730974;3400939730745;3400927568312;3400927568480
GRISEOFULVINE	3400930464458;3400938288926
HALOPERIDOL	3400930471722;3400926921149;3400932635108;3400932699322;3400930471432;3400932082506;3400930471890
HEPARINE CALCIQUE	3400930167632;3400930167861;3400931878551;3400930484500;3400931331094;3400931878612
HEPARINE SODIQUE	3400930167632;3400930167861;3400931878551;3400930484500;3400931331094;3400931878612
HEPARINE SODIQUE/IODURE DE SODIUM	3400930167632;3400930167861;3400931878551;3400930484500;3400931331094;3400931878612
