ABATACEPT	3400926884376
AMLODIPINE	3400937559867;3400937974530;3400937915977;3400937559928;3400937916110;3400937439602;3400949724734;3400937714716;3400937559409;3400938235296;3400938732375;3400937974479;3400937712354;3400937501385;3400937438131;3400937712644;3400949027224;3400949724505;3400938150797;3400926617929;3400937559638;3400926617578;3400937916059;3400939675183;3400937501156;3400939675244;3400949723904;3400938139624;3400937944892;3400937915687;3400937349550;3400937700528;3400937831031;3400938150629;3400937438421;3400937976770;3400938139792;3400937439190;3400949422944;3400937845519;3400939674704;3400937464093;3400938073584;3400937944953;3400937831260;3400933313357;3400937501095;3400937977661;3400949422425;3400949422715;3400938235128;3400937439022;3400937743570;3400937440721;3400937501217;3400938073645;3400937977432;3400937463843;3400937349901;3400939674643;3400937845458;3400937977203;3400937700696;3400937714655;3400938732146;3400937915809;3400933341671;3400937915748;3400933313586;3400937844048;3400937243889;3400937440141;3400937694513;3400938357165;3400937976602;3400949724215;3400937440660;3400937694681;3400937977722;3400937977142;3400926618230;3400949422074;3400938357226;3400937977371;3400933341961;3400937243711;3400937743631;3400937928007;3400937440950;3400937928175;3400937439831;3400937844109;3400937559867;3400937974530;3400937915977;3400937559928;3400937916110;3400937439602;3400949724734;3400937714716;3400937559409;3400938235296;3400938732375;3400937974479;3400937712354;3400937501385;3400937438131;3400937712644;3400949027224;3400949724505;3400938150797;3400926617929;3400937559638;3400926617578;3400937916059;3400939675183;3400937501156;3400939675244;3400949723904;3400938139624;3400937944892;3400937915687;3400937349550;3400937700528;3400937831031;3400938150629;3400937438421;3400937976770;3400938139792;3400937439190;3400949422944;3400937845519;3400939674704;3400937464093;3400938073584;3400937944953;3400937831260;3400933313357;3400937501095;3400937977661;3400949422425;3400949422715;3400938235128;3400937439022;3400937743570;3400937440721;3400937501217;3400938073645;3400937977432;3400937463843;3400937349901;3400939674643;3400937845458;3400937977203;3400937700696;3400937714655;3400938732146;3400937915809;3400933341671;3400937915748;3400933313586;3400937844048;3400937243889;3400937440141;3400937694513;3400938357165;3400937976602;3400949724215;3400937440660;3400937694681;3400937977722;3400937977142;3400926618230;3400949422074;3400938357226;3400937977371;3400933341961;3400937243711;3400937743631;3400937928007;3400937440950;3400937928175;3400937439831;3400937844109;3400927598357;3400927598586;3400927597527;3400927597756;3400937575485;3400937575546;3400936930506;3400936929845;3400938854305;3400938854473;3400938857894;3400938854015;3400938858495;3400938858266;3400938854183;3400938857436;3400938853872;3400938857726;3400938854763;3400938858037;3400938581959;3400949023899;3400938583960;3400949024032;3400949000098;3400949023660;3400949024261;3400949023950;3400938580259;3400938580600;3400949015566;3400938582789;3400938581430;3400938583151;3400949023431;3400949015337;3400949023370;3400938584332;3400949010134;3400949465828;3400949465767;3400949465248;3400949465538;3400949465309;3400949464708;3400949465477;3400949464937;3400937817882;3400937817714;3400937818025;3400937818193;3400937817592;3400937818315
AMOXAPINE	3400933086039;3400933338602
AMOXICILLINE	3400933198190;3400927928734;3400936112018;3400934913174;3400935175489;3400936112186;3400933999940;3400936883109;3400935582867;3400936111936;3400936112308;3400939207872;3400938551853;3400931587538;3400935251862;3400935684684;3400935979780;3400927928963;3400936883277;3400933999711;3400935979841;3400935248381;3400935252234;3400936882966;3400927929335;3400935252173;3400935252005;3400933054960;3400938829112;3400935186836;3400932345434;3400935248213;3400933154776;3400927928383;3400936036093;3400936000254;3400936035843;3400934061226;3400938829341;3400927928505;3400934433825;3400927929045;3400932111282;3400932345205;3400936112247;3400934060915;3400932111053;3400935582928;3400935325594;3400935251923;3400937054393;3400933867157;3400936000193;3400934303043;3400936285262;3400936285323;3400936582439;3400937614610;3400938443363;3400935684516;3400933858681;3400935765741;3400935377982;3400939207414;3400936284951;3400933859053;3400934061745;3400936742659;3400937054164;3400932345373;3400936035904;3400938443424;3400932585847;3400936796010;3400935428134;3400934171727;3400936285033;3400937053914;3400935378064;3400932300020;3400935765680;3400936112476;3400934061974;3400934433993;3400936112537;3400935252463;3400936665736;3400933857042;3400937614788;3400936742710;3400936736337;3400935243300;3400935974877;3400935334640;3400935765970;3400936736276;3400936112766;3400932332076;3400933930691;3400935067401;3400933930523;3400935796158;3400933858803;3400933930752;3400935765802;3400932332137;3400936736108;3400933198190;3400927928734;3400936112018;3400934913174;3400935175489;3400936112186;3400933999940;3400936883109;3400935582867;3400936111936;3400936112308;3400939207872;3400938551853;3400931587538;3400935251862;3400935684684;3400935979780;3400927928963;3400936883277;3400933999711;3400935979841;3400935248381;3400935252234;3400936882966;3400927929335;3400935252173;3400935252005;3400933054960;3400938829112;3400935186836;3400932345434;3400935248213;3400933154776;3400927928383;3400936036093;3400936000254;3400936035843;3400934061226;3400938829341;3400927928505;3400934433825;3400927929045;3400932111282;3400932345205;3400936112247;3400934060915;3400932111053;3400935582928;3400935325594;3400935251923;3400937054393;3400933867157;3400936000193;3400934303043;3400936285262;3400936285323;3400936582439;3400937614610;3400938443363;3400935684516;3400933858681;3400935765741;3400935377982;3400939207414;3400936284951;3400933859053;3400934061745;3400936742659;3400937054164;3400932345373;3400936035904;3400938443424;3400932585847;3400936796010;3400935428134;3400934171727;3400936285033;3400937053914;3400935378064;3400932300020;3400935765680;3400936112476;3400934061974;3400934433993;3400936112537;3400935252463;3400936665736;3400933857042;3400937614788;3400936742710;3400936736337;3400935243300;3400935974877;3400935334640;3400935765970;3400936736276;3400936112766;3400932332076;3400933930691;3400935067401;3400933930523;3400935796158;3400933858803;3400933930752;3400935765802;3400932332137;3400936736108;3400935338723;3400937735827;3400935337771;3400935338952;3400937734127;3400937735766;3400934450853;3400935337542;3400935338143;3400936683136;3400936732254;3400935337252;3400934451164;3400936732025;3400935355690;3400933295226;3400927749933;3400936196223;3400937734295;3400936196162;3400936732193;3400936563339;3400937501446;3400927750014;3400935948564;3400927750182;3400936563278;3400937736077;3400937540827;3400937736596;3400935337023;3400936100701;3400937737548;3400937501507;3400936731943;3400936031999;3400936803374;3400936731882;3400936708181;3400936089143;3400934503535;3400937910835;3400936562967;3400935948274;3400937910194;3400937737487;3400935355751;3400926941710;3400936683075;3400936061866;3400937735537;3400935981851;3400927750243;3400937735018;3400935335470;3400935335012;3400937910255;3400936476479;3400936100640;3400936562219;3400935948335;3400937736428;3400936732315;3400937428606;3400937595247;3400937595308;3400935355522;3400935948625;3400937910545;3400935948793;3400936380684;3400937910316;3400937734875;3400937541657;3400935948854;3400926941598;3400936027398;3400936803435;3400935981790;3400938698046;3400936172210;3400934392511;3400936562387;3400937541367;3400935948915;3400936061637;3400937428835;3400936708013;3400936027169;3400936562738;3400936476301;3400938682595;3400935335241;3400933040314;3400937540995;3400936682993;3400936027459;3400936707870;3400936027220;3400936088023;3400937541596;3400935082077;3400936380745;3400937911085;3400936682825;3400936087941;3400936089082;3400936707931;3400935334879;3400936732483;3400935949165;3400936380394;3400937541138;3400934503764;3400933314019;3400935081827
AMPICILLINE	3400930765647;3400930765647;3400933373320
ANAGRELIDE	3400936517905
ANAKINRA	3400927732034;3400935946614
APIXABAN	3400926784102;3400941945502;3400941945670;3400941945441
APOMORPHINE	3400935562296;3400933870638;3400949740642;3400933870577
APREPITANT	3400936351189;3400936350700
ARIPIPRAZOLE	3400930017456;3400930017258;3400930017357;3400927721908;3400936921740;3400936407343;3400936921450;3400930023631;3400936406971;3400930023648;3400936407862;3400927721847
ARTENIMOL	3400921751987
ATAZANAVIR	3400938487947;3400936404380;3400936404502;3400938487886
